crown_id,species,genus,species_id,genus_id
3,Pinus palustris,Pinus,PIPA,PI
4,Pinus palustris,Pinus,PIPA,PI
9,Quercus laevis,Quercus,QULA,QU
13,Pinus palustris,Pinus,PIPA,PI
14,Pinus taeda,Pinus,PITA,PI
16,Pinus taeda,Pinus,PITA,PI
18,Other species,Other,OTHER,QU
20,Other species,Other,OTHER,PI
21,Pinus elliottii,Pinus,PIEL,PI
22,Quercus laevis,Quercus,QULA,QU
23,Quercus laevis,Quercus,QULA,QU
24,Quercus geminata,Quercus,QUGE,QU
25,Pinus palustris,Pinus,PIPA,PI
26,Pinus palustris,Pinus,PIPA,PI
28,Pinus palustris,Pinus,PIPA,PI
29,Pinus palustris,Pinus,PIPA,PI
30,Quercus geminata,Quercus,QUGE,QU
31,Quercus nigra,Quercus,QUNI,QU
35,Pinus palustris,Pinus,PIPA,PI
40,Liquidambar styraciflua,Liquidambar,LIST,LI
42,Quercus geminata,Quercus,QUGE,QU
43,Pinus palustris,Pinus,PIPA,PI
44,Pinus palustris,Pinus,PIPA,PI
45,Pinus palustris,Pinus,PIPA,PI
46,Pinus palustris,Pinus,PIPA,PI
50,Pinus palustris,Pinus,PIPA,PI
52,Quercus laevis,Quercus,QULA,QU
53,Pinus palustris,Pinus,PIPA,PI
54,Pinus palustris,Pinus,PIPA,PI
55,Pinus palustris,Pinus,PIPA,PI
57,Pinus palustris,Pinus,PIPA,PI
58,Pinus palustris,Pinus,PIPA,PI
61,Pinus palustris,Pinus,PIPA,PI
62,Quercus laevis,Quercus,QULA,QU
67,Pinus palustris,Pinus,PIPA,PI
68,Pinus palustris,Pinus,PIPA,PI
71,Pinus taeda,Pinus,PITA,PI
72,Pinus palustris,Pinus,PIPA,PI
73,Quercus laevis,Quercus,QULA,QU
78,Pinus palustris,Pinus,PIPA,PI
79,Pinus palustris,Pinus,PIPA,PI
82,Quercus laevis,Quercus,QULA,QU
83,Acer rubrum,Acer,ACRU,AC
86,Quercus laevis,Quercus,QULA,QU
87,Pinus palustris,Pinus,PIPA,PI
90,Quercus laevis,Quercus,QULA,QU
92,Quercus laevis,Quercus,QULA,QU
94,Quercus laevis,Quercus,QULA,QU
95,Pinus palustris,Pinus,PIPA,PI
96,Pinus palustris,Pinus,PIPA,PI
97,Pinus palustris,Pinus,PIPA,PI
98,Pinus palustris,Pinus,PIPA,PI
99,Pinus palustris,Pinus,PIPA,PI
100,Pinus palustris,Pinus,PIPA,PI
109,Pinus palustris,Pinus,PIPA,PI
110,Pinus palustris,Pinus,PIPA,PI
111,Pinus palustris,Pinus,PIPA,PI
112,Pinus palustris,Pinus,PIPA,PI
114,Pinus palustris,Pinus,PIPA,PI
115,Pinus palustris,Pinus,PIPA,PI
119,Quercus laevis,Quercus,QULA,QU
121,Pinus palustris,Pinus,PIPA,PI
123,Quercus geminata,Quercus,QUGE,QU
124,Quercus laevis,Quercus,QULA,QU
128,Pinus palustris,Pinus,PIPA,PI
133,Pinus elliottii,Pinus,PIEL,PI
134,Pinus palustris,Pinus,PIPA,PI
135,Pinus palustris,Pinus,PIPA,PI
136,Pinus palustris,Pinus,PIPA,PI
139,Quercus geminata,Quercus,QUGE,QU
140,Quercus laevis,Quercus,QULA,QU
141,Pinus palustris,Pinus,PIPA,PI
142,Pinus palustris,Pinus,PIPA,PI
153,Pinus palustris,Pinus,PIPA,PI
155,Pinus taeda,Pinus,PITA,PI
156,Pinus palustris,Pinus,PIPA,PI
157,Acer rubrum,Acer,ACRU,AC
158,Pinus palustris,Pinus,PIPA,PI
160,Pinus palustris,Pinus,PIPA,PI
161,Pinus palustris,Pinus,PIPA,PI
162,Pinus palustris,Pinus,PIPA,PI
164,Quercus laevis,Quercus,QULA,QU
165,Pinus palustris,Pinus,PIPA,PI
168,Pinus palustris,Pinus,PIPA,PI
169,Pinus palustris,Pinus,PIPA,PI
170,Pinus palustris,Pinus,PIPA,PI
171,Quercus laevis,Quercus,QULA,QU
172,Pinus palustris,Pinus,PIPA,PI
173,Pinus palustris,Pinus,PIPA,PI
174,Quercus geminata,Quercus,QUGE,QU
177,Pinus palustris,Pinus,PIPA,PI
179,Pinus palustris,Pinus,PIPA,PI
180,Pinus palustris,Pinus,PIPA,PI
181,Pinus palustris,Pinus,PIPA,PI
182,Pinus palustris,Pinus,PIPA,PI
183,Pinus palustris,Pinus,PIPA,PI
184,Quercus laevis,Quercus,QULA,QU
187,Pinus palustris,Pinus,PIPA,PI
188,Pinus palustris,Pinus,PIPA,PI
190,Liquidambar styraciflua,Liquidambar,LIST,LI
193,Pinus palustris,Pinus,PIPA,PI
194,Pinus taeda,Pinus,PITA,PI
198,Pinus palustris,Pinus,PIPA,PI
199,Pinus palustris,Pinus,PIPA,PI
203,Quercus geminata,Quercus,QUGE,QU
205,Pinus palustris,Pinus,PIPA,PI
206,Quercus geminata,Quercus,QUGE,QU
207,Pinus palustris,Pinus,PIPA,PI
208,Pinus palustris,Pinus,PIPA,PI
211,Pinus palustris,Pinus,PIPA,PI
213,Pinus palustris,Pinus,PIPA,PI
214,Pinus palustris,Pinus,PIPA,PI
215,Pinus elliottii,Pinus,PIEL,PI
216,Pinus palustris,Pinus,PIPA,PI
220,Pinus palustris,Pinus,PIPA,PI
221,Pinus palustris,Pinus,PIPA,PI
225,Quercus nigra,Quercus,QUNI,QU
226,Pinus palustris,Pinus,PIPA,PI
228,Pinus palustris,Pinus,PIPA,PI
229,Pinus taeda,Pinus,PITA,PI
231,Pinus palustris,Pinus,PIPA,PI
232,Other species,Other,OTHER,QU
233,Pinus palustris,Pinus,PIPA,PI
234,Pinus palustris,Pinus,PIPA,PI
235,Acer rubrum,Acer,ACRU,AC
237,Acer rubrum,Acer,ACRU,AC
241,Pinus palustris,Pinus,PIPA,PI
242,Pinus palustris,Pinus,PIPA,PI
245,Quercus laevis,Quercus,QULA,QU
251,Pinus palustris,Pinus,PIPA,PI
252,Pinus palustris,Pinus,PIPA,PI
253,Pinus palustris,Pinus,PIPA,PI
254,Pinus palustris,Pinus,PIPA,PI
